"filename", "language", "HTML", "JavaScript", "JSON with Comments", "Java", "CSS", "Python", "comment", "blank", "total"
"/Users/andrew/APART/183.html", "HTML", 42, 0, 0, 0, 0, 0, 0, 8, 50
"/Users/andrew/APART/184.html", "HTML", 42, 0, 0, 0, 0, 0, 0, 8, 50
"/Users/andrew/APART/185.html", "HTML", 46, 0, 0, 0, 0, 0, 0, 8, 54
"/Users/andrew/APART/186.html", "HTML", 45, 0, 0, 0, 0, 0, 0, 8, 53
"/Users/andrew/APART/187.html", "HTML", 48, 0, 0, 0, 0, 0, 0, 8, 56
"/Users/andrew/APART/188.html", "HTML", 41, 0, 0, 0, 0, 0, 0, 8, 49
"/Users/andrew/APART/189.html", "HTML", 41, 0, 0, 0, 0, 0, 0, 8, 49
"/Users/andrew/APART/19.html", "HTML", 47, 0, 0, 0, 0, 0, 0, 8, 55
"/Users/andrew/APART/190.html", "HTML", 42, 0, 0, 0, 0, 0, 0, 8, 50
"/Users/andrew/APART/191.html", "HTML", 39, 0, 0, 0, 0, 0, 0, 8, 47
"/Users/andrew/APART/192.html", "HTML", 50, 0, 0, 0, 0, 0, 0, 9, 59
"/Users/andrew/APART/193.html", "HTML", 45, 0, 0, 0, 0, 0, 0, 8, 53
"/Users/andrew/APART/194.html", "HTML", 42, 0, 0, 0, 0, 0, 0, 9, 51
"/Users/andrew/APART/195.html", "HTML", 38, 0, 0, 0, 0, 0, 0, 9, 47
"/Users/andrew/APART/196.html", "HTML", 31, 0, 0, 0, 0, 0, 0, 10, 41
"/Users/andrew/APART/197.html", "HTML", 42, 0, 0, 0, 0, 0, 0, 8, 50
"/Users/andrew/APART/198.html", "HTML", 56, 0, 0, 0, 0, 0, 0, 8, 64
"/Users/andrew/APART/199.html", "HTML", 62, 0, 0, 0, 0, 0, 0, 10, 72
"/Users/andrew/APART/2.html", "HTML", 56, 0, 0, 0, 0, 0, 0, 7, 63
"/Users/andrew/APART/20.html", "HTML", 47, 0, 0, 0, 0, 0, 0, 9, 56
"/Users/andrew/APART/200.html", "HTML", 49, 0, 0, 0, 0, 0, 0, 8, 57
"/Users/andrew/APART/201.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/202.html", "HTML", 45, 0, 0, 0, 0, 0, 0, 8, 53
"/Users/andrew/APART/203.html", "HTML", 47, 0, 0, 0, 0, 0, 0, 8, 55
"/Users/andrew/APART/204.html", "HTML", 42, 0, 0, 0, 0, 0, 0, 9, 51
"/Users/andrew/APART/205.html", "HTML", 41, 0, 0, 0, 0, 0, 0, 8, 49
"/Users/andrew/APART/206.html", "HTML", 49, 0, 0, 0, 0, 0, 0, 8, 57
"/Users/andrew/APART/207.html", "HTML", 46, 0, 0, 0, 0, 0, 0, 8, 54
"/Users/andrew/APART/208.html", "HTML", 50, 0, 0, 0, 0, 0, 0, 8, 58
"/Users/andrew/APART/209.html", "HTML", 70, 0, 0, 0, 0, 0, 0, 10, 80
"/Users/andrew/APART/21.html", "HTML", 60, 0, 0, 0, 0, 0, 0, 6, 66
"/Users/andrew/APART/210.html", "HTML", 43, 0, 0, 0, 0, 0, 0, 8, 51
"/Users/andrew/APART/211.html", "HTML", 49, 0, 0, 0, 0, 0, 0, 8, 57
"/Users/andrew/APART/212.html", "HTML", 43, 0, 0, 0, 0, 0, 0, 8, 51
"/Users/andrew/APART/213.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/214.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/215.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/216.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/217.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/218.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/219.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/22.html", "HTML", 49, 0, 0, 0, 0, 0, 0, 7, 56
